Signal,RMS,Standard Deviation,Peak-to-Peak,Crest Factor,Percentile Anomaly Percentage,Risk Level,Feature-Based Anomaly Percentage
Crack1_30,2.2758,2.2757,18.0112,4.7503,2.0,Low,6.25
Crack1_50,3.7782,3.778,25.5845,3.9414,2.01,Low,7.14
Crack2_30,1.9763,1.9743,15.3526,4.6262,2.0,Low,6.25
Crack2_50,3.2253,3.2241,23.5734,4.2522,2.0,Low,5.56
Crack3_30,2.2106,2.2102,17.5795,4.7571,1.96,Low,6.25
Crack3_50,3.3322,3.329,24.6329,3.8508,2.01,Low,7.14
Crack4_30,1.8331,1.8308,14.7346,4.6827,2.0,Low,6.25
Crack4_50,3.6545,3.6523,23.4753,3.3206,1.98,Low,7.14
Crack5_30,1.7665,1.7649,15.4802,4.8869,2.0,Low,6.25
Crack5_50,3.7422,3.7421,22.3766,3.2899,1.98,Low,7.14
Crack6_30,2.4569,2.4568,17.7659,3.6374,1.94,Low,6.25
Crack6_50,4.122,4.1216,23.8579,3.2509,2.01,Low,7.14
