Signal,Total Values,Threshold,Anomaly Count,Anomaly Percentage,Warning Level
Crack1_30,4800,6.878968199999949,96,2.0,LOW
Crack1_50,2880,11.147691600000005,58,2.01,LOW
Crack2_30,4800,5.660762399999991,96,2.0,LOW
Crack2_50,3600,7.8974424,72,2.0,LOW
Crack3_30,4800,6.14106,94,1.96,LOW
Crack3_50,2880,8.3426202,58,2.01,LOW
Crack4_30,4800,4.620706199999995,96,2.0,LOW
Crack4_50,2880,9.64323,57,1.98,LOW
Crack5_30,4800,4.2777485999999865,96,2.0,LOW
Crack5_50,2880,8.93691,57,1.98,LOW
Crack6_30,4800,5.81733,93,1.94,LOW
Crack6_50,2880,10.373290200000001,58,2.01,LOW
