Crack1_30,Crack1_50,Crack2_30,Crack2_50,Crack3_30,Crack3_50,Crack4_30,Crack4_50,Crack5_30,Crack5_50,Crack6_30,Crack6_50,Anomaly_Label,Anomaly_Score,Anomaly_Status
0.76518,1.75599,1.95219,-0.18639,-2.07972,1.83447,-1.28511,-1.12815,-0.31392,-0.52974,3.35502,-1.04967,1,0.14496754936643863,Normal
1.11834,0.25506,1.3734,0.84366,-2.50155,-0.61803,-0.82404,-1.23606,-0.24525,-0.67689,2.79585,-1.6677,1,0.15548018980488015,Normal
1.00062,-0.32373,1.34397,1.11834,-2.88414,2.2563,-1.22625,-2.52117,-0.20601,-0.08829,1.81485,-1.84428,1,0.1480368658289346,Normal
0.0,-1.54017,1.22625,1.77561,-1.09872,0.81423,-2.02086,-2.76642,0.24525,-0.83385,1.48131,-1.62846,1,0.14935039662298422,Normal
0.08829,-1.962,1.36359,3.49236,-2.1582,1.78542,-2.04048,-3.49236,-1.01043,-1.03986,2.61927,-1.54017,1,0.11984959552223251,Normal
-0.06867,-2.00124,0.0981,3.6297,-0.92214,3.37464,-2.33478,-3.44331,-0.71613,-0.82404,1.46169,-1.77561,1,0.13741929011461262,Normal
0.14715,-1.77561,-0.59841,3.46293,-1.04967,2.89395,-2.60946,-2.81547,-0.41202,-0.86328,0.79461,-1.36359,1,0.13790911549119778,Normal
-0.21582,-4.06134,-0.64746,2.81547,-0.27468,0.42183,-3.08034,-3.02148,0.17658,-0.96138,0.99081,0.38259,1,0.12596523974752621,Normal
-1.08891,-4.86576,-0.16677,3.6297,-0.48069,0.35316,-2.60946,-2.69775,-0.21582,-0.62784,-0.16677,-0.99081,1,0.12889029407458286,Normal
-0.60822,-4.22811,-0.93195,1.62846,-0.13734,2.17782,-2.58984,-1.62846,0.30411,0.75537,0.02943,-1.10853,1,0.14393555157481325,Normal
-1.09872,-5.28759,-1.14777,0.02943,0.42183,1.80504,-2.03067,-1.16739,0.67689,0.60822,0.33354,-1.01043,1,0.14568970013312388,Normal
-2.39364,-5.20911,-1.09872,0.91233,0.85347,1.45188,-1.92276,-1.49112,1.49112,0.8829,1.19682,-0.25506,1,0.12084719888548823,Normal
-1.54017,-4.29678,-0.99081,1.60884,0.41202,2.02086,-2.0601,-0.75537,0.48069,0.80442,-1.3734,-2.44269,1,0.1344245637637737,Normal
-0.54936,-1.43226,-1.43226,2.06991,2.41326,3.80628,-1.88352,-0.50031,0.52974,1.12815,-2.22687,-1.60884,1,0.1246366461218043,Normal
