Signal,RMS,Standard Deviation,Peak-to-Peak,Crest Factor,Anomaly Count,Anomaly Percentage,Risk Level
Crack1_30,2.2758,2.2757,18.0112,4.7503,96,2.0,Low
Crack1_50,3.7782,3.778,25.5845,3.9414,58,2.01,Low
Crack2_30,1.9763,1.9743,15.3526,4.6262,96,2.0,Low
Crack2_50,3.2253,3.2241,23.5734,4.2522,72,2.0,Low
Crack3_30,2.2106,2.2102,17.5795,4.7571,94,1.96,Low
Crack3_50,3.3322,3.329,24.6329,3.8508,58,2.01,Low
Crack4_30,1.8331,1.8308,14.7346,4.6827,96,2.0,Low
Crack4_50,3.6545,3.6523,23.4753,3.3206,57,1.98,Low
Crack5_30,1.7665,1.7649,15.4802,4.8869,96,2.0,Low
Crack5_50,3.7422,3.7421,22.3766,3.2899,57,1.98,Low
Crack6_30,2.4569,2.4568,17.7659,3.6374,93,1.94,Low
Crack6_50,4.122,4.1216,23.8579,3.2509,58,2.01,Low
