Crack1_30,Crack2_30,Crack3_30,Crack4_30,Crack5_30,Crack6_30
4.09077,1.59903,1.54998,-0.42183,1.36359,-1.34397
-0.28449,-0.5886,-1.34397,0.3924,1.15758,-0.63765
-1.84428,2.39364,-1.55979,1.09872,-2.28573,0.8829
0.16677,-0.67689,-1.70694,2.16801,-2.5506,0.00981
1.01043,0.04905,-1.46169,-2.0601,1.03005,0.8829
3.89457,0.34335,0.44145,2.33478,0.74556,3.61989
-2.12877,0.76518,0.18639,-1.51074,0.74556,1.3734
1.19682,-1.16739,-0.28449,2.60946,0.04905,-0.18639
2.96262,-0.55917,0.63765,1.29492,-2.54079,0.02943
-2.04048,-1.70694,3.0411,-0.77499,-0.72594,0.54936
-0.26487,1.01043,-1.08891,-2.65851,1.40283,0.41202
1.30473,-2.19744,-1.25568,1.81485,-0.45126,-4.09077
2.19744,-1.15758,0.56898,1.21644,-1.40283,3.09015
0.99081,-1.44207,1.63827,0.25506,0.61803,5.41512
-0.84366,3.09996,1.03005,1.29492,1.55979,3.924
1.67751,-1.42245,-0.44145,-0.22563,0.51012,1.28511
-1.962,-0.90252,-2.61927,2.31516,-1.79523,-1.81485
-0.96138,-2.32497,3.6297,2.69775,2.79585,-0.62784
3.52179,0.89271,-2.38383,-1.26549,0.81423,-3.12939
-2.16801,2.05029,2.36421,1.6677,0.83385,-4.59108
-3.47274,2.17782,-1.35378,0.91233,0.92214,-0.60822
-2.56041,2.18763,-1.44207,0.53955,0.76518,0.44145
1.1772,-2.27592,-1.2753,0.73575,-0.16677,-0.38259
-0.83385,1.84428,0.27468,1.08891,0.05886,-1.38321
-2.16801,2.47212,-1.03005,-1.01043,1.08891,-1.54998
0.67689,1.6677,-0.11772,-1.00062,-1.45188,3.16863
0.03924,0.47088,-0.95157,0.0,0.63765,0.1962
1.55979,0.93195,-1.13796,1.0791,-0.26487,1.77561
2.14839,2.14839,0.60822,-0.43164,1.40283,-1.22625
0.06867,-0.99081,-0.92214,1.54998,-0.91233,-0.67689
1.03005,2.33478,2.05029,1.4715,0.22563,-3.34521
0.57879,-1.14777,-0.66708,0.95157,1.67751,-4.10058
-0.92214,-2.58003,3.39426,-0.41202,1.6677,-0.25506
0.80442,2.85471,-0.87309,-0.8829,-2.14839,-3.79647
0.79461,1.16739,2.0601,1.40283,1.12815,-0.24525
2.52117,1.59903,4.18887,1.53036,1.23606,-1.60884
-0.76518,0.44145,1.40283,-0.00981,1.20663,-1.73637
1.95219,-2.72718,-0.94176,0.20601,0.84366,2.03067
2.51136,5.5917,1.45188,4.09077,2.13858,3.05091
-2.5506,-1.43226,0.91233,0.05886,3.64932,0.92214
0.8829,-1.73637,0.67689,0.15696,2.83509,0.25506
0.55917,-0.59841,-1.13796,-1.61865,-0.13734,-0.54936
1.38321,-0.71613,0.10791,-0.25506,-0.8829,2.90376
1.64808,-3.924,0.74556,-1.90314,0.94176,1.28511
-0.50031,1.95219,2.71737,-0.16677,0.60822,-2.5506
2.96262,0.02943,0.55917,1.94238,0.62784,-0.11772
0.64746,0.0981,3.69837,-2.11896,1.44207,2.41326
1.30473,0.63765,2.08953,1.03005,-0.8829,-3.42369
0.8829,-1.4715,0.1962,1.43226,-1.2753,0.64746
-1.36359,1.99143,3.02148,-0.40221,-0.92214,3.1392
-1.01043,-1.75599,-0.8829,-0.8829,2.96262,-4.0221
-0.48069,-1.53036,0.90252,-2.49174,0.87309,-2.88414
0.30411,-1.26549,0.53955,-0.15696,-1.13796,-3.25692
0.56898,1.51074,2.67813,-0.7848,0.01962,0.95157
-1.06929,2.97243,-1.15758,-0.31392,-1.21644,-1.98162
2.87433,2.69775,3.08034,0.85347,-0.33354,-0.82404
1.962,4.00248,2.07972,0.84366,2.10915,-1.02024
-2.71737,-0.86328,-1.29492,0.23544,-2.18763,-3.52179
-1.03986,0.60822,0.0981,0.23544,1.74618,-5.44455
1.10853,-0.35316,0.57879,0.44145,-0.50031,4.53222
0.1962,-0.48069,1.57941,0.56898,6.43536,-0.84366
-0.22563,0.46107,1.46169,1.54998,0.40221,1.41264
-2.31516,-2.67813,-2.80566,-0.35316,1.28511,0.12753
1.59903,0.48069,-2.92338,0.35316,-0.51993,2.46231
0.0,0.46107,0.46107,2.4525,-2.7468,-1.48131
-0.06867,4.69899,-0.50031,-1.1772,1.32435,0.46107
-0.57879,2.58984,-3.46293,-1.52055,1.36359,-0.51012
-1.85409,1.69713,1.01043,1.64808,0.91233,-0.22563
0.51012,-1.15758,-1.81485,-0.87309,-0.70632,-6.0822
0.53955,-1.61865,-0.56898,2.41326,-1.63827,-1.7658
2.90376,0.59841,-2.29554,0.27468,3.97305,-3.81609
4.73823,4.08096,0.92214,1.59903,1.22625,1.95219
1.00062,-0.66708,-0.37278,0.53955,0.40221,-1.962
0.57879,-1.09872,-1.09872,-0.46107,3.10977,2.67813
-1.32435,0.17658,1.4715,1.41264,1.5696,-1.18701
2.20725,-0.53955,1.10853,1.00062,-3.17844,0.3924
5.47398,-1.44207,0.8829,2.46231,2.66832,0.33354
0.25506,-1.53036,0.62784,-0.02943,0.18639,2.83509
2.59965,1.30473,2.82528,1.58922,-0.48069,-1.42245
-1.7658,1.58922,2.42307,2.98224,-0.38259,-0.70632
-0.1962,-0.04905,-1.62846,2.82528,2.2563,-1.92276
-0.12753,1.43226,-0.44145,-0.84366,-0.76518,-1.38321
-0.81423,-0.67689,-2.86452,0.81423,-1.75599,0.04905
-2.47212,-3.29616,-0.99081,-1.59903,2.08953,-1.13796
2.21706,2.96262,2.28573,2.61927,1.13796,1.65789
-1.0791,-0.5886,-0.94176,-1.14777,2.96262,3.4335
0.06867,0.22563,-1.77561,-2.82528,0.28449,3.6297
-2.08953,-1.73637,1.59903,2.61927,2.32497,-0.46107
-1.18701,-0.51993,0.67689,1.10853,-0.36297,-1.82466
2.79585,-1.28511,1.52055,1.58922,1.42245,1.30473
-5.81733,-0.01962,-4.42431,-4.27716,-2.04048,-1.1772
-0.5886,-0.25506,0.16677,-1.34397,0.72594,1.03986
2.17782,-0.1962,-1.79523,-0.8829,0.92214,4.29678
2.7468,3.74742,0.99081,1.19682,-0.52974,2.58984
2.06991,0.48069,-0.59841,1.53036,-1.03005,2.91357
2.16801,-1.64808,0.54936,1.94238,0.17658,0.53955
-0.80442,1.67751,-1.38321,0.04905,-0.64746,4.49298
-1.13796,0.99081,2.59965,-0.67689,0.56898,5.1012
-1.08891,0.1962,2.18763,-0.77499,-3.19806,-1.5696
0.94176,0.82404,-0.23544,-3.12939,2.37402,-0.55917
3.37464,1.18701,1.89333,-1.01043,2.8449,2.39364
-1.22625,0.04905,1.59903,-1.89333,-0.27468,-1.92276
0.03924,-0.44145,1.12815,2.06991,1.91295,-2.76642
3.56103,1.63827,3.55122,3.3354,1.91295,-3.70818
-0.12753,-1.14777,-1.89333,-2.58984,-1.02024,2.7468
0.61803,0.87309,0.55917,0.51993,-1.69713,2.58984
0.6867,-0.72594,0.92214,1.78542,-1.06929,2.41326
0.73575,3.91419,2.01105,-0.32373,0.56898,-1.1772
1.34397,-1.51074,-1.09872,1.99143,-0.17658,1.52055
-3.58065,-6.00372,-4.68918,-2.14839,-1.57941,-4.68918
3.18825,3.05091,0.96138,0.69651,-0.64746,2.29554
-0.55917,1.09872,1.64808,0.33354,-1.29492,2.98224
-8.40717,-2.23668,-8.30907,-6.33726,-2.3544,-5.61132
-0.97119,1.81485,-0.981,0.3924,1.53036,2.62908
1.91295,4.64013,0.5886,-0.46107,0.31392,-1.77561
-0.73575,0.35316,-1.63827,0.67689,0.37278,1.23606
-1.19682,-0.76518,-2.71737,0.0,0.59841,-0.65727
-2.50155,0.02943,0.00981,-1.93257,-0.5886,0.99081
1.82466,0.83385,-2.20725,-0.18639,0.38259,0.76518
1.31454,0.02943,-0.03924,2.66832,2.90376,1.12815
1.84428,-0.16677,-1.02024,0.30411,0.50031,2.29554
-1.43226,1.12815,1.52055,0.72594,-0.99081,5.45436
-5.61132,-6.43536,-2.28573,-1.80504,2.41326,-2.01105
0.1962,-0.47088,-1.74618,-1.58922,0.73575,2.3544
-0.46107,-1.32435,0.55917,1.50093,2.11896,1.09872
0.06867,-1.32435,1.02024,-0.22563,2.12877,-0.18639
2.38383,2.47212,1.49112,2.36421,1.79523,1.10853
-0.77499,0.01962,-0.21582,0.28449,-0.75537,3.79647
-0.24525,-1.41264,-0.82404,1.00062,-1.10853,2.3544
4.14963,0.87309,3.66894,-0.54936,0.79461,0.97119
-1.11834,-1.4715,1.90314,-1.06929,0.27468,-2.28573
-5.58189,-2.49174,-4.04172,-3.4335,0.50031,-0.05886
-0.56898,0.08829,2.34459,0.61803,1.2753,2.943
3.40407,1.23606,0.70632,-0.16677,1.67751,5.81733
-1.91295,1.30473,0.40221,1.83447,1.22625,0.45126
0.1962,-1.962,-2.08953,0.54936,-0.56898,2.82528
1.11834,-1.13796,-0.94176,3.39426,-0.84366,3.58065
0.21582,-0.41202,2.14839,-0.46107,1.03986,-0.13734
0.96138,1.95219,0.04905,0.34335,0.31392,2.01105
1.39302,0.80442,-1.8639,0.12753,-1.03005,1.0791
-3.96324,-0.92214,0.10791,-1.22625,-1.39302,-0.20601
-1.18701,3.67875,-1.38321,-0.05886,-0.86328,0.94176
-1.50093,-0.01962,0.51993,2.14839,4.25754,0.46107
1.64808,1.69713,-3.15882,0.50031,1.7658,-1.75599
2.39364,4.76766,2.70756,0.34335,0.71613,-3.1392
-0.59841,0.66708,-0.05886,-1.48131,0.44145,3.8259
1.57941,-0.27468,0.15696,0.21582,2.18763,-6.91605
2.3544,-0.54936,0.3924,1.69713,-1.72656,-1.70694
3.02148,0.13734,-0.00981,2.40345,0.26487,2.73699
0.26487,0.92214,0.17658,-0.11772,0.54936,3.52179
-0.46107,0.31392,1.49112,1.91295,0.17658,-1.6677
0.52974,-1.81485,1.53036,1.48131,-2.08953,2.08953
2.24649,-0.51993,-0.8829,0.62784,2.29554,-1.04967
0.16677,0.03924,4.23792,2.87433,-0.76518,-1.62846
-0.83385,0.46107,1.23606,-0.38259,0.44145,-3.84552
-2.38383,1.98162,-1.42245,-1.54017,-2.40345,-1.53036
2.76642,-1.58922,1.94238,0.4905,1.77561,0.3924
-2.00124,-2.44269,-0.4905,2.21706,-0.01962,0.47088
1.1772,0.35316,2.70756,0.10791,-3.48255,-2.31516
-0.14715,-0.30411,-2.60946,-3.05091,0.79461,3.31578
1.31454,0.44145,-3.35502,-1.13796,0.01962,-0.76518
-2.37402,-0.36297,0.13734,2.76642,0.6867,0.20601
1.55979,0.59841,-1.43226,0.04905,-1.65789,1.61865
2.41326,2.48193,3.57084,0.73575,-0.46107,-2.32497
1.23606,1.4715,0.90252,1.73637,1.42245,1.32435
1.08891,1.10853,1.18701,-1.15758,-0.53955,2.48193
-0.82404,-0.30411,-0.46107,-1.36359,0.91233,0.14715
0.04905,0.81423,-1.3734,-1.93257,-0.47088,-2.6487
-1.58922,2.02086,-1.41264,-0.93195,-3.86514,-4.52241
-0.82404,-0.7848,-0.76518,1.61865,1.89333,-1.80504
-1.04967,-1.46169,2.21706,2.43288,2.4525,-1.64808
-1.06929,-1.59903,1.42245,0.48069,-3.39426,4.08096
1.54017,-0.85347,-2.10915,2.65851,1.52055,-1.11834
1.15758,2.34459,0.45126,0.85347,-1.64808,4.84614
-0.53955,-2.23668,-0.07848,0.23544,0.62784,-1.20663
1.25568,0.93195,3.66894,0.82404,2.44269,2.12877
0.3924,1.22625,-2.3544,-3.25692,-1.46169,0.51012
-0.89271,-1.43226,2.68794,1.98162,-1.46169,3.78666
-7.39674,-1.05948,-5.18949,-5.20911,-2.2563,-3.93381
2.39364,2.49174,-1.13796,0.73575,0.14715,0.37278
0.0,1.71675,-1.22625,0.07848,-1.31454,0.3924
-0.22563,0.48069,-0.42183,0.59841,0.25506,0.55917
2.58984,4.69899,2.43288,1.20663,0.32373,1.73637
-3.64932,0.5886,-4.27716,-3.87495,-0.67689,-0.66708
-0.84366,-1.28511,0.76518,0.99081,-0.40221,-1.98162
1.4715,-2.63889,0.36297,1.01043,-1.19682,0.42183
0.96138,0.981,1.43226,3.61989,3.08034,1.16739
0.90252,0.32373,-3.01167,2.23668,-2.61927,0.35316
4.14963,1.35378,4.64013,3.86514,1.26549,-4.05153
1.49112,3.8259,1.19682,2.87433,2.53098,1.85409
-2.34459,-0.95157,-0.65727,-0.85347,1.18701,1.99143
-1.35378,-0.31392,-0.30411,2.12877,-2.09934,-0.20601
3.08034,-0.15696,-1.92276,0.67689,2.57022,-3.46293
